Irradiance,AmbientTemp,rload,cload,fc,f_samp,Inductor,Capacitor,Vpv_avg,Ipv_avg,DutyCycleActual,Vout_avg,Iout_avg,P_out,VoltageRipple_pp,VoltageRipple_rms,CurrentRipple_pp,CurrentRipple_rms,dV,dP,Efficiency,P_in,Pmpp,TimeDelay,k_sc
1000,15,0.001,0.001,5000,10000,0.0007,3e-05,26.98170798,7.645877661,0.257425743,12.22303674,-14.78561466,180.7809013,0.002312154,0.001105466,1.842527572,0.921180937,-0.007975923,-0.079436959,87.62468552,206.3127533,206.2332715,0.813451123,2
1000,15,0.001,0.001,5000,10000,0.0007,4e-05,26.98170805,7.645877656,0.257425743,12.22303678,-14.78561882,180.780939,0.002311625,0.001105202,1.842086207,0.920960266,-0.007975923,-0.07943696,87.62470364,206.3127537,206.2332719,0.813451123,2
1000,15,0.001,0.001,5000,10000,0.001,3e-05,26.9910088,7.645178928,0.257425743,12.22595619,-14.92982226,182.5699992,0.001651688,0.000775118,1.29115352,0.645508169,-0.00790795,-0.078867003,88.46952342,206.3648499,206.2859379,0.813451123,2
1000,15,0.001,0.001,5000,10000,0.001,4e-05,26.99100884,7.645178925,0.257425743,12.22595621,-14.92982499,182.5700234,0.001651317,0.000774932,1.290844229,0.645353531,-0.00790795,-0.078867003,88.46953506,206.3648501,206.2859381,0.813451123,2
1000,15,0.001,0.001,5000,20000,0.0007,3e-05,34.16507355,0.339066715,0.28358209,11.89546284,-0.464977871,3.520092745,0.001401988,0.000470709,1.164505866,0.439896814,-9.3e-05,0.010804286,1.435555397,245.207726,256.5972644,0.893443325,4
1000,15,0.001,0.001,5000,20000,0.0007,4e-05,34.16507355,0.33906671,0.28358209,11.89546355,-0.465003944,3.520791346,0.001401484,0.000470549,1.164085935,0.439708435,-9.3e-05,0.010804286,1.435840298,245.2077261,256.5972644,0.893443325,4
1000,15,0.001,0.001,5000,20000,0.001,3e-05,34.18032136,0.251428121,0.28358209,11.89197439,-0.325558921,2.466190622,0.000979668,0.000328862,0.813706879,0.307163909,-6.16e-05,0.010050728,0.99171523,248.6793131,257.0870612,0.893443325,4
1000,15,0.001,0.001,5000,20000,0.001,4e-05,34.18032136,0.251428119,0.28358209,11.89197488,-0.325576784,2.46667393,0.000979315,0.000328751,0.813413129,0.307032199,-6.16e-05,0.010050728,0.99190958,248.6793132,257.0870612,0.893443325,4
1000,15,0.001,0.001,5000,40000,0.0007,3e-05,33.99336013,2.098717314,0.3625,12.02877675,-5.455605232,65.13561188,0.002077626,0.000586524,1.682890574,0.55233578,-0.001147132,0.035578305,39.29695159,165.7523274,236.0045648,0.353627144,8
1000,15,0.001,0.001,5000,40000,0.0007,4e-05,33.99336013,2.098717284,0.3625,12.0287767,-5.455605736,65.13505381,0.002076925,0.000586454,1.68230604,0.552294071,-0.001147132,0.035578304,39.29661456,165.7523289,236.0045652,0.353627144,8
1000,15,0.001,0.001,5000,40000,0.001,3e-05,33.99451851,2.092706642,0.3625,12.0289476,-5.460236932,65.33812175,0.001472151,0.000410729,1.178135395,0.386604621,-0.001153856,0.034187677,39.35005505,166.0432791,236.0678214,0.353627144,8
1000,15,0.001,0.001,5000,40000,0.001,4e-05,33.99451851,2.092706632,0.3625,12.02894757,-5.460237283,65.33773111,0.001471659,0.00041068,1.177725928,0.386575441,-0.001153856,0.034187677,39.34981968,166.0432796,236.0678216,0.353627144,8
1000,15,0.001,0.001,5000,50000,0.0007,3e-05,32.88568705,4.867036334,0.381237525,12.17438485,-12.090483,147.2077927,0.00224787,0.000643899,1.765960541,0.571123036,-0.004208873,0.148439555,91.98663322,160.0317215,160.8747824,0.5724306,10
1000,15,0.001,0.001,5000,50000,0.0007,4e-05,32.88568705,4.867036325,0.381237525,12.17438481,-12.09048325,147.2073806,0.002247208,0.000643822,1.765409101,0.571099324,-0.004208873,0.148439555,91.98637584,160.0317213,160.8747821,0.5724306,10
1000,15,0.001,0.001,5000,50000,0.001,3e-05,32.88782449,4.864705763,0.381237525,12.17451857,-12.09718986,147.286239,0.001612366,0.000451439,1.236189596,0.399764053,-0.004217323,0.148035649,92.07378341,159.9654467,160.7523095,0.5724306,10
1000,15,0.001,0.001,5000,50000,0.001,4e-05,32.88782449,4.864705764,0.381237525,12.17451854,-12.09719001,147.2859501,0.001611902,0.000451386,1.235803251,0.399747466,-0.004217323,0.148035649,92.07360284,159.9654468,160.7523095,0.5724306,10
1000,15,0.001,0.001,5000,60000,0.0007,3e-05,31.86764687,5.850538057,0.400998336,12.21311888,-13.97881581,170.9377034,0.002315136,0.000677749,1.80243898,0.576825382,-0.00520891,0.117653982,91.69678177,186.4162516,187.8437689,0.212852774,12
1000,15,0.001,0.001,5000,60000,0.0007,4e-05,31.86764687,5.850538052,0.400998336,12.21311884,-13.978816,170.9373817,0.0023145,0.000677677,1.801908695,0.576809909,-0.00520891,0.117653982,91.69660924,186.4162515,187.8437688,0.212852774,12
