Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc_star
1000.0,20.0,0.005,0.002,0.001,3e-05,24.727272727272727
800.0,15.0,0.001,0.002,0.001,4e-05,8.969696969696969
1000.0,15.0,0.001,0.001,0.001,4e-05,10.181818181818182
900.0,40.0,0.002,0.001,0.0007,3e-05,9.575757575757576
700.0,25.0,0.005,0.001,0.001,3e-05,8.666666666666668
1000.0,35.0,0.001,0.005,0.001,3e-05,24.727272727272727
500.0,15.0,0.005,0.002,0.001,4e-05,15.030303030303031
1000.0,40.0,0.002,0.001,0.0007,3e-05,10.787878787878789
500.0,35.0,0.001,0.002,0.0007,3e-05,14.121212121212121
600.0,30.0,0.001,0.002,0.001,3e-05,15.636363636363637
800.0,20.0,0.005,0.005,0.0007,4e-05,9.575757575757576
400.0,15.0,0.002,0.005,0.0007,3e-05,11.090909090909092
800.0,35.0,0.005,0.005,0.001,4e-05,22.0
500.0,40.0,0.005,0.002,0.001,4e-05,15.030303030303031
800.0,20.0,0.005,0.001,0.0007,3e-05,9.575757575757576
700.0,25.0,0.002,0.002,0.0007,4e-05,11.393939393939394
900.0,25.0,0.005,0.005,0.0007,4e-05,9.575757575757576
400.0,20.0,0.005,0.005,0.001,4e-05,32.0
500.0,20.0,0.001,0.001,0.0007,3e-05,13.515151515151516
800.0,30.0,0.002,0.005,0.001,3e-05,20.181818181818183
800.0,15.0,0.001,0.005,0.0007,4e-05,9.575757575757576
500.0,15.0,0.001,0.001,0.0007,4e-05,13.818181818181818
600.0,20.0,0.002,0.005,0.001,4e-05,26.242424242424242
600.0,30.0,0.001,0.002,0.001,4e-05,15.636363636363637
1000.0,35.0,0.005,0.002,0.001,3e-05,24.727272727272727
700.0,25.0,0.005,0.002,0.001,3e-05,28.666666666666668
900.0,30.0,0.001,0.002,0.0007,4e-05,9.575757575757576
600.0,30.0,0.001,0.005,0.0007,4e-05,32.0
600.0,20.0,0.005,0.002,0.0007,4e-05,32.0
400.0,40.0,0.001,0.002,0.0007,4e-05,13.212121212121213
900.0,35.0,0.001,0.005,0.001,3e-05,21.09090909090909
1000.0,30.0,0.001,0.002,0.0007,3e-05,10.787878787878789
500.0,25.0,0.002,0.005,0.001,4e-05,15.030303030303031
800.0,15.0,0.005,0.001,0.0007,3e-05,9.575757575757576
800.0,40.0,0.002,0.005,0.001,3e-05,20.181818181818183
1000.0,20.0,0.001,0.002,0.001,4e-05,10.181818181818182
1000.0,15.0,0.005,0.005,0.0007,3e-05,9.878787878787879
700.0,30.0,0.005,0.005,0.0007,4e-05,9.575757575757576
800.0,15.0,0.005,0.001,0.001,3e-05,8.363636363636363
700.0,15.0,0.002,0.005,0.0007,3e-05,10.787878787878789
700.0,35.0,0.002,0.002,0.0007,3e-05,11.393939393939394
900.0,25.0,0.001,0.005,0.0007,3e-05,9.575757575757576
800.0,20.0,0.005,0.001,0.0007,3e-05,9.575757575757576
700.0,35.0,0.001,0.005,0.0007,4e-05,11.393939393939394
1000.0,30.0,0.001,0.002,0.0007,4e-05,10.787878787878789
400.0,40.0,0.005,0.005,0.0007,4e-05,16.545454545454547
900.0,20.0,0.005,0.005,0.0007,3e-05,9.575757575757576
900.0,40.0,0.002,0.001,0.001,3e-05,9.272727272727273
700.0,20.0,0.005,0.001,0.001,3e-05,8.666666666666668
500.0,15.0,0.001,0.002,0.001,4e-05,15.030303030303031
500.0,40.0,0.002,0.001,0.0007,4e-05,14.121212121212121
700.0,40.0,0.001,0.002,0.0007,4e-05,11.393939393939394
800.0,30.0,0.005,0.002,0.001,4e-05,8.363636363636363
1000.0,15.0,0.001,0.002,0.0007,4e-05,10.787878787878789
1000.0,25.0,0.002,0.001,0.0007,4e-05,10.787878787878789
700.0,20.0,0.005,0.002,0.001,4e-05,28.666666666666668
500.0,30.0,0.005,0.001,0.0007,4e-05,21.393939393939394
700.0,25.0,0.001,0.002,0.0007,3e-05,11.393939393939394
700.0,30.0,0.005,0.001,0.001,4e-05,29.575757575757578
800.0,35.0,0.001,0.005,0.001,3e-05,19.87878787878788
600.0,15.0,0.002,0.001,0.001,3e-05,15.636363636363637
500.0,40.0,0.005,0.002,0.0007,3e-05,16.242424242424242
700.0,30.0,0.001,0.005,0.001,4e-05,18.363636363636363
600.0,15.0,0.005,0.005,0.001,4e-05,23.515151515151516
600.0,15.0,0.005,0.005,0.0007,3e-05,32.0
500.0,15.0,0.002,0.005,0.0007,3e-05,16.242424242424242
600.0,30.0,0.002,0.002,0.001,3e-05,27.757575757575758
800.0,35.0,0.002,0.005,0.001,3e-05,20.181818181818183
