Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc,VoltageRipple_pp,VoltageRipple_rms,CurrentRipple_pp,CurrentRipple_rms,TimeDelay,Efficiency
700,20,0.002,0.002,0.0007,3e-05,8,0.002087412,0.000586537,1.681969651,0.552307767,0.351402273,91.9233483
1000,20,0.001,0.005,0.001,3e-05,32,0.001836573,0.000525245,1.375354501,0.418774748,0.158745588,91.38380314
900,15,0.002,0.001,0.0007,4e-05,12,0.002303643,0.000676256,1.798290772,0.575745976,0.212852774,91.93574997
500,20,0.002,0.005,0.001,3e-05,4,0.00102813,0.000343968,0.85378691,0.316749662,0.893443325,35.18210406
1000,30,0.001,0.002,0.0007,3e-05,8,0.002078166,0.000586472,1.682629275,0.55234901,0.351402273,40.6256465
1000,15,0.005,0.005,0.0007,4e-05,8,0.002075138,0.000586226,1.681290868,0.552150111,0.353627144,38.56175077
600,25,0.002,0.002,0.001,3e-05,4,0.001021009,0.000341665,0.847899468,0.315286504,0.893443325,2.732170139
600,20,0.002,0.001,0.001,4e-05,4,0.00101614,0.000340126,0.843865711,0.314219025,0.893443325,2.572599507
700,35,0.001,0.001,0.0007,4e-05,12,0.00227649,0.000672949,1.789929082,0.573278762,0.212852774,92.54804489
500,20,0.005,0.002,0.001,4e-05,8,0.001459597,0.000409084,1.172364167,0.38517502,0.353627144,92.18566968
600,20,0.001,0.005,0.0007,4e-05,2,0.002271598,0.00110079,1.835324956,0.917609087,0.813451123,88.2928327
400,35,0.005,0.002,0.0007,3e-05,12,0.002215986,0.000666422,1.773820683,0.568483683,0.212852774,93.52139022
600,30,0.001,0.002,0.0007,3e-05,4,0.001461336,0.000489043,1.213596338,0.451452506,0.893443325,4.203747411
600,20,0.005,0.001,0.001,4e-05,4,0.001014758,0.000339681,0.842722134,0.313941826,0.893443325,2.528713894
600,15,0.002,0.005,0.001,4e-05,16,0.001652676,0.000489536,1.268936283,0.400207504,0.143697039,92.90736115
900,40,0.002,0.005,0.001,3e-05,12,0.001655001,0.000473756,1.257473234,0.402913421,0.212852774,91.96042578
600,35,0.002,0.005,0.001,3e-05,32,0.001844431,0.000545552,1.43267404,0.436800868,0.068000629,93.20730507
800,30,0.002,0.001,0.001,3e-05,16,0.00168862,0.000493325,1.277717468,0.402439592,0.143697039,92.06684591
1000,30,0.002,0.002,0.001,4e-05,2,0.001657652,0.000778037,1.296018946,0.647943104,0.813451123,88.77179769
1000,40,0.001,0.001,0.001,4e-05,2,0.001651317,0.000774932,1.290844229,0.645353531,0.813451123,88.46953506
900,15,0.002,0.001,0.001,3e-05,16,0.001702345,0.000494821,1.2810132,0.403399998,0.143697039,91.68756964
500,40,0.001,0.005,0.0007,3e-05,10,0.00218294,0.00063632,1.745600548,0.565377007,0.5724306,92.99632336
700,30,0.002,0.005,0.0007,3e-05,4,0.001453429,0.000486474,1.207062112,0.449895326,0.893443325,2.742317946
600,35,0.002,0.001,0.001,4e-05,16,0.001739163,0.00053276,1.388478724,0.440060708,0.374476293,93.7321244
700,25,0.005,0.005,0.0007,4e-05,8,0.002085884,0.000586352,1.680848469,0.552188254,0.351402273,91.89145057
900,30,0.005,0.002,0.0007,4e-05,16,0.002358729,0.000704297,1.828219979,0.576208813,0.145569106,91.64844182
1000,35,0.005,0.002,0.0007,3e-05,12,0.002312776,0.000677163,1.800712537,0.576680758,0.212852774,91.62117648
500,30,0.001,0.001,0.0007,3e-05,12,0.002239971,0.000668974,1.780318969,0.570271649,0.212852774,93.22419319
900,20,0.001,0.001,0.0007,4e-05,2,0.002300758,0.001103074,1.838664442,0.919260778,0.813451123,87.85378699
700,20,0.002,0.001,0.0007,4e-05,4,0.001440778,0.000482538,1.196584392,0.447231126,0.893443325,2.593578213
600,15,0.001,0.005,0.0007,4e-05,32,0.002580551,0.000778601,2.046121764,0.62400963,0.068000629,93.27065071
500,40,0.002,0.005,0.001,4e-05,16,0.001632032,0.000487718,1.265069944,0.399015927,0.143697039,93.35400887
900,15,0.001,0.001,0.0007,4e-05,2,0.002300758,0.001103074,1.838664442,0.919260778,0.813451123,87.85378699
900,40,0.002,0.002,0.001,4e-05,10,0.001602678,0.000450233,1.232668644,0.399047535,0.5724306,92.25029914
800,15,0.001,0.001,0.001,4e-05,16,0.001688256,0.000493288,1.277372871,0.402437196,0.143697039,92.08743451
700,35,0.001,0.002,0.001,4e-05,8,0.001481777,0.000410758,1.176917399,0.386571343,0.351402273,92.43987365
800,40,0.002,0.001,0.001,4e-05,12,0.001645254,0.000473051,1.25594948,0.40218375,0.212852774,92.24013106
500,20,0.005,0.005,0.001,4e-05,12,0.001597253,0.00046827,1.244626186,0.399081815,0.212852774,93.20236033
400,15,0.005,0.001,0.0007,4e-05,2,0.002230913,0.001090878,1.819141944,0.90952234,0.813451123,86.67556729
600,15,0.005,0.002,0.0007,3e-05,4,0.001458691,0.000488188,1.211407744,0.450924219,0.893443325,4.071684994
400,20,0.002,0.002,0.001,3e-05,2,0.001582543,0.000766231,1.277499977,0.638715164,0.813451123,88.97331584
400,15,0.001,0.002,0.0007,4e-05,2,0.002235325,0.001093074,1.822803868,0.911353278,0.813451123,86.85943153
900,25,0.002,0.001,0.001,3e-05,8,0.001480556,0.000411285,1.179802407,0.387077891,0.351402273,65.7536257
500,20,0.002,0.005,0.001,3e-05,2,0.00159965,0.000769401,1.282577324,0.641251971,0.813451123,89.5438516
900,35,0.001,0.005,0.0007,3e-05,12,0.002301641,0.00067554,1.796439044,0.575615306,0.212852774,91.96191412
700,20,0.005,0.005,0.001,3e-05,4,0.001014264,0.000339476,0.84232444,0.313949327,0.893443325,1.836438337
900,30,0.001,0.001,0.0007,3e-05,16,0.002361206,0.000704829,1.830128204,0.576315113,0.145569106,91.73384354
600,20,0.005,0.005,0.0007,3e-05,10,0.002199258,0.000637983,1.749948035,0.566722752,0.5724306,92.73824062
1000,25,0.002,0.002,0.0007,4e-05,2,0.002320878,0.001109763,1.849691256,0.9247649,0.813451123,87.9275904
800,40,0.002,0.002,0.0007,4e-05,16,0.002343717,0.000702426,1.82371141,0.574857965,0.145569106,92.09649175
700,20,0.001,0.002,0.0007,3e-05,16,0.002326765,0.000700774,1.819305392,0.573382785,0.143697039,92.52622699
600,35,0.001,0.002,0.001,4e-05,32,0.001844287,0.000545576,1.432512228,0.436816096,0.068000629,93.22318018
1000,25,0.005,0.005,0.0007,4e-05,12,0.002311029,0.00067677,1.79920805,0.576600828,0.212852774,91.62322876
800,35,0.001,0.001,0.001,4e-05,16,0.001688256,0.000493288,1.277372871,0.402437196,0.143697039,92.08743451
900,40,0.002,0.005,0.0007,4e-05,12,0.002300886,0.000675457,1.795882172,0.575590081,0.212852774,91.9424475
700,35,0.005,0.002,0.0007,3e-05,32,0.002494987,0.000742707,1.950731753,0.594016066,0.158745588,92.48675798
800,25,0.002,0.002,0.001,3e-05,12,0.001644636,0.00047279,1.25536795,0.402137068,0.212852774,92.2450954
